hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs (4)	legs (0)	legs (2)	legs (6)	legs (8)	legs (5)	tail	domestic	catsize

0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0
0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0
1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0
0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0
0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1
0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0
0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1
0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1
0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1
0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1
1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0
